vowel,closure,burst,language,phon_ctxt_stress,phon_ctxt_canonical_vl,mimic,Block.Type,MinimalPairID,Word,Sound,phon_ctxt_r,phon_ctxt_l,phon_ctxt_n,Item.Filename,syllable,Item.MinimalPair,Item.Word,syllable_duration,num_of_segments
0.123032578,0.089421817,0.059345805,native,no,short,irrelevant,exposure,NA,oeverlevnad,/d/,no,no,no,ETW_30_oeverlevnad,4,NA,ETW_30_oeverlevnad,0.335327809,3
0.092214773,0.09544955,0.061614329,non-native,yes,short,yes,exposure,NA,oskuld,/d/,no,yes,no,ETW_1_oskuld,2,NA,ETW_1_oskuld,0.498082326,4
0.238538566,0.124038631,0.063714689,non-native,yes,short,yes,exposure,NA,skillnad,/d/,no,no,no,ETW_2_skillnad,2,NA,ETW_2_skillnad,0.603416749,3
0.384298038,0.140408747,0.076444228,non-native,yes,long,yes,exposure,NA,choklad,/d/,no,no,no,ETW_3_choklad,2,NA,ETW_3_choklad,0.704569161,3
0.252338754,0.199979118,0.100241677,non-native,yes,short,yes,exposure,NA,livraadd,/d/,no,no,no,ETW_4_livraadd,2,NA,ETW_4_livraadd,0.608032207,3
0.201508432,0.217688994,0.048918367,non-native,yes,short,yes,exposure,NA,skepnad,/d/,no,no,no,ETW_5_skepnad,2,NA,ETW_5_skepnad,0.588003118,3
0.288032555,0.10064333,0.060094388,non-native,yes,long,yes,exposure,NA,vemod,/d/,no,no,no,ETW_6_vemod,2,NA,ETW_6_vemod,0.617492727,3
0.187810355,0.083529316,0.058487204,non-native,yes,short,yes,exposure,NA,hemland,/d/,no,no,yes,ETW_7_hemland,2,NA,ETW_7_hemland,0.793587746,4
0.178548164,0.041006341,0.076241099,non-native,yes,short,yes,exposure,NA,samfund,/d/,no,no,yes,ETW_8_samfund,2,NA,ETW_8_samfund,0.772528458,4
0.220197375,0.101945049,0.0945845,non-native,no,short,yes,exposure,NA,haarmed,/d/,no,no,no,ETW_9_haarmed,2,NA,ETW_9_haarmed,0.541288738,3
