Subject,Session,Sound,Spelling1.ACC,Spelling1.RT,Word,Block,Group,participant
12,2,t,1,1851,eight,1,control,212
12,2,d,1,1535,said,1,control,212
12,2,d,1,1455,mad,1,control,212
12,2,t,1,1451,mutt,1,control,212
12,2,t,1,1468,pleat,1,control,212
12,2,d,1,1442,played,1,control,212
12,2,t,1,1649,kit,1,control,212
12,2,t,1,1528,moot,1,control,212
12,2,d,1,1516,slide,1,control,212
12,2,t,1,1949,mate,1,control,212
12,2,d,1,1853,cord,1,control,212
12,2,t,1,1605,sight,1,control,212
12,2,t,1,1900,debt,1,control,212
12,2,d,1,1547,sad,1,control,212
12,2,d,1,1863,fad,1,control,212
12,2,d,1,1602,fond,1,control,212
12,2,d,1,1460,wide,1,control,212
12,2,d,1,1600,charred,1,control,212
12,2,t,1,1943,neat,1,control,212
12,2,d,1,2412,owed,1,control,212
12,2,t,1,1446,root,1,control,212
12,2,t,0,1680,white,2,control,212
12,2,d,1,1302,hard,2,control,212
12,2,d,1,1470,side,2,control,212
12,2,d,0,1465,aid,2,control,212
12,2,d,0,1266,pod,2,control,212
12,2,t,1,1371,knot,2,control,212
12,2,t,1,1212,hit,2,control,212
12,2,t,1,1872,spate,2,control,212
12,2,d,1,1188,slid,2,control,212
12,2,d,1,1388,plead,2,control,212
12,2,d,0,1251,made,2,control,212
12,2,d,0,1140,mud,2,control,212
12,2,d,1,1275,rude,2,control,212
12,2,t,1,1220,pat,2,control,212
12,2,t,1,1439,seat,2,control,212
12,2,t,1,1326,right,2,control,212
12,2,d,0,1353,mend,2,control,212
12,2,t,1,1761,colt,2,control,212
12,2,d,0,1133,laid,2,control,212
12,2,d,0,1291,raid,2,control,212
12,2,d,0,1021,had,2,control,212
12,2,t,1,1005,cute,2,control,212
12,2,d,0,2372,heed,2,control,212
12,2,t,1,1301,plate,2,control,212
12,2,d,0,1449,fade,2,control,212
12,2,t,1,1324,wait,2,control,212
12,2,t,0,2184,fort,2,control,212
12,2,d,1,1111,dead,2,control,212
12,2,d,0,1290,fried,2,control,212
12,2,t,0,2615,set,2,control,212
12,2,t,1,2356,oat,2,control,212
12,2,t,0,3939,slight,2,control,212
12,2,t,1,1862,cent,2,control,212
12,2,d,0,1644,herd,2,control,212
12,2,t,0,2153,sat,2,control,212
12,2,t,1,2532,font,2,control,212
12,2,t,1,2128,sweet,2,control,212
12,2,t,1,2495,coat,2,control,212
12,2,d,1,1933,mode,2,control,212
12,2,t,1,3161,court,2,control,212
12,2,t,0,1499,height,2,control,212
12,2,t,1,1815,chart,2,control,212
12,2,d,0,2198,mound,2,control,212
12,2,t,0,2519,skit,2,control,212
12,2,d,0,1500,feed,2,control,212
12,2,d,1,1434,kid,2,control,212
12,2,d,1,1296,mood,2,control,212
12,2,t,0,1367,mat,2,control,212
12,2,d,1,1223,card,2,control,212
12,2,t,1,1174,wet,2,control,212
12,2,d,0,1777,need,2,control,212
12,2,t,1,1603,fat,2,control,212
12,2,t,1,1959,wrote,2,control,212
12,2,d,0,1232,mead,2,control,212
12,2,t,1,1502,plot,2,control,212
12,2,d,0,1237,led,2,control,212
12,2,d,0,1862,node,2,control,212
12,2,d,1,1682,rod,2,control,212
12,2,d,1,1282,cod,2,control,212
12,2,t,1,1481,wheat,2,control,212
13,2,d,0,791,fad,1,control,213
13,2,t,0,792,fate,1,control,213
13,2,t,0,1092,slit,1,control,213
13,2,t,0,952,kit,1,control,213
13,2,d,0,747,wade,1,control,213
13,2,d,0,723,mad,1,control,213
13,2,d,0,1409,spade,1,control,213
13,2,d,0,788,code,1,control,213
13,2,d,0,982,plod,1,control,213
13,2,d,0,771,sad,1,control,213
13,2,d,0,1109,played,1,control,213
13,2,d,0,1312,seed,1,control,213
13,2,t,0,1088,heat,1,control,213
13,2,t,0,752,note,1,control,213
13,2,t,0,1324,feet,1,control,213
13,2,t,0,1192,late,1,control,213
13,2,t,0,1125,mutt,1,control,213
13,2,d,0,1296,road,1,control,213
13,2,t,0,1249,moat,1,control,213
13,2,t,0,967,debt,1,control,213
13,2,d,1,1687,skid,1,control,213
13,2,d,1,1062,hid,1,control,213
13,2,d,1,945,send,1,control,213
13,2,t,1,922,neat,1,control,213
13,2,t,1,980,heart,1,control,213
13,2,t,1,897,pleat,1,control,213
13,2,t,1,1082,fright,1,control,213
13,2,d,1,1090,fond,1,control,213
13,2,t,1,898,hat,1,control,213
13,2,d,1,1037,cold,1,control,213
13,2,t,1,1193,mate,1,control,213
13,2,d,1,1017,ride,1,control,213
13,2,d,1,1087,ford,1,control,213
13,2,t,1,1125,sight,1,control,213
13,2,t,1,858,hurt,1,control,213
13,2,t,1,1031,moot,1,control,213
13,2,d,1,807,cord,1,control,213
13,2,t,1,700,pot,1,control,213
13,2,t,1,1180,meat,1,control,213
13,2,t,1,1614,mount,1,control,213
13,2,d,1,848,wide,1,control,213
13,2,d,1,1404,wed,1,control,213
13,2,t,1,1037,rot,1,control,213
13,2,t,1,1273,let,1,control,213
13,2,d,1,883,slide,1,control,213
13,2,d,1,1042,Swede,1,control,213
13,2,t,1,816,cot,1,control,213
13,2,d,1,768,weed,1,control,213
13,2,d,1,1015,said,1,control,213
13,2,d,1,1028,charred,1,control,213
13,2,t,1,885,meant,1,control,213
13,2,d,1,939,cued,1,control,213
13,2,d,1,850,owed,1,control,213
13,2,d,1,728,pad,1,control,213
13,2,t,1,1008,eight,1,control,213
13,2,t,1,911,rate,1,control,213
13,2,d,1,987,nod,1,control,213
13,2,t,1,1003,cart,1,control,213
13,2,t,1,1466,root,1,control,213
13,2,d,1,912,hide,1,control,213
13,2,d,1,1031,need,2,control,213
13,2,d,1,651,dead,2,control,213
13,2,d,1,688,mode,2,control,213
13,2,t,0,1055,wrote,2,control,213
13,2,t,1,933,font,2,control,213
13,2,t,1,1030,seat,2,control,213
13,2,t,0,992,plot,2,control,213
13,2,t,0,794,white,2,control,213
13,2,d,0,877,mound,2,control,213
13,2,t,0,718,oat,2,control,213
13,2,t,0,988,skit,2,control,213
13,2,d,0,778,made,2,control,213
13,2,t,1,1270,right,2,control,213
13,2,t,0,1366,hit,2,control,213
13,2,t,0,974,spate,2,control,213
13,2,d,1,1086,plead,2,control,213
13,2,d,1,982,mood,2,control,213
13,2,t,0,944,wheat,2,control,213
13,2,d,1,1184,rude,2,control,213
13,2,t,0,888,slight,2,control,213
13,2,t,1,869,pat,2,control,213
13,2,t,1,1239,plate,2,control,213
13,2,t,1,1201,sweet,2,control,213
13,2,d,0,1104,aid,2,control,213
13,2,d,1,1102,node,2,control,213
13,2,t,0,858,chart,2,control,213
13,2,t,0,694,coat,2,control,213
13,2,t,1,1268,wait,2,control,213
13,2,d,0,705,had,2,control,213
13,2,d,0,941,laid,2,control,213
13,2,d,1,841,slid,2,control,213
13,2,t,0,1096,court,2,control,213
13,2,d,0,749,herd,2,control,213
13,2,d,1,587,mead,2,control,213
13,2,t,1,1076,colt,2,control,213
13,2,t,0,1147,cent,2,control,213
13,2,d,0,1511,led,2,control,213
13,2,t,1,1031,fort,2,control,213
13,2,d,1,673,kid,2,control,213
13,2,t,0,1131,knot,2,control,213
13,2,d,1,1072,side,2,control,213
13,2,d,0,961,fried,2,control,213
13,2,t,1,820,wet,2,control,213
13,2,d,1,810,cod,2,control,213
13,2,t,0,819,fat,2,control,213
13,2,d,0,738,feed,2,control,213
13,2,d,0,967,pod,2,control,213
13,2,d,1,1048,raid,2,control,213
13,2,d,0,925,fade,2,control,213
13,2,d,0,1008,rod,2,control,213
13,2,d,1,1020,hard,2,control,213
13,2,d,1,1655,heed,2,control,213
13,2,d,0,1186,mend,2,control,213
13,2,t,1,1342,height,2,control,213
13,2,t,0,878,set,2,control,213
13,2,t,1,1229,sat,2,control,213
13,2,t,1,933,mat,2,control,213
13,2,d,1,963,card,2,control,213
13,2,t,1,1019,cute,2,control,213
13,2,d,1,1154,mud,2,control,213
14,2,d,0,1097,mead,1,control,214
14,2,d,0,1015,had,1,control,214
14,2,d,0,1616,led,1,control,214
14,2,t,0,1676,slight,1,control,214
14,2,t,0,1414,white,1,control,214
14,2,t,0,1476,height,1,control,214
14,2,d,0,1424,plead,1,control,214
14,2,d,0,1046,herd,1,control,214
14,2,t,0,1406,cute,1,control,214
14,2,d,0,1191,mend,1,control,214
14,2,d,0,1265,mound,1,control,214
14,2,d,0,1624,rod,1,control,214
14,2,d,0,1146,mud,1,control,214
14,2,d,0,1124,fried,1,control,214
14,2,d,0,1384,aid,1,control,214
14,2,t,0,1075,coat,1,control,214
14,2,t,0,1702,right,1,control,214
14,2,t,0,1385,skit,1,control,214
14,2,d,0,970,pod,1,control,214
14,2,d,0,1332,need,1,control,214
14,2,d,0,1785,made,1,control,214
14,2,t,0,1795,oat,1,control,214
14,2,t,0,2859,spate,1,control,214
14,2,d,0,2075,fade,1,control,214
14,2,t,0,1170,plate,1,control,214
14,2,d,1,1509,slid,1,control,214
