Speaker,Sound,Word,set,burst,closure,vowel,phon_ctxt_stress,syllable,Item.Word,onset_has_nasal,onset_has_lateral,onset_has_rhotic,coda_has_nasal,coda_has_lateral,coda_has_rhotic,has_long_vowel,Syllable_duration,Word_duration
E1,/t/,not,1,0.098,0.146,0.092,yes,1,not,yes,no,no,no,no,no,no,0.458,0.458
E1,/t/,not,2,0.108,0.15,0.104,yes,1,not,yes,no,no,no,no,no,no,0.473,0.473
E1,/t/,not,3,0.126,0.152,0.156,yes,1,not,yes,no,no,no,no,no,no,0.531,0.531
E1,/t/,pat,1,0.023,0.078,0.129,yes,1,pat,no,no,no,no,no,no,no,0.292,0.292
E1,/t/,pat,2,0.136,0.121,0.133,yes,1,pat,no,no,no,no,no,no,no,0.445,0.445
E1,/t/,pat,3,0.113,0.105,0.125,yes,1,pat,no,no,no,no,no,no,no,0.414,0.414
E1,/t/,pet,1,0.115,0.053,0.124,yes,1,pet,no,no,no,no,no,no,no,0.365,0.365
E1,/t/,pet,2,0.116,0.124,0.123,yes,1,pet,no,no,no,no,no,no,no,0.413,0.413
E1,/t/,pet,3,0.101,0.104,0.131,yes,1,pet,no,no,no,no,no,no,no,0.391,0.391
E1,/d/,pond,1,0.042,0.02,0.217,yes,1,pond,no,no,no,yes,no,no,no,0.323,0.323
E1,/d/,pond,2,0.093,0.016,0.241,yes,1,pond,no,no,no,yes,no,no,no,0.414,0.414
E1,/d/,pond,3,0.116,0.017,0.236,yes,1,pond,no,no,no,yes,no,no,no,0.413,0.413
E1,/t/,pot,1,0.106,0.115,0.13,yes,1,pot,no,no,no,no,no,no,no,0.429,0.429
E1,/t/,pot,2,0.131,0.099,0.146,yes,1,pot,no,no,no,no,no,no,no,0.455,0.455
E1,/t/,pot,3,0.128,0.105,0.144,yes,1,pot,no,no,no,no,no,no,no,0.465,0.465
E1,/d/,pound,1,0.073,0.043,0.24,yes,1,pound,no,no,no,yes,no,no,yes,0.482,0.482
E1,/d/,pound,2,0.091,0.038,0.248,yes,1,pound,no,no,no,yes,no,no,yes,0.506,0.506
E1,/d/,pound,3,0.087,0.018,0.196,yes,1,pound,no,no,no,yes,no,no,yes,0.412,0.412
E1,/t/,pout,1,0.135,0.077,0.133,yes,1,pout,no,no,no,no,no,no,yes,0.455,0.455
E1,/t/,pout,2,0.138,0.075,0.111,yes,1,pout,no,no,no,no,no,no,yes,0.451,0.451
E1,/t/,pout,3,0.123,0.081,0.131,yes,1,pout,no,no,no,no,no,no,yes,0.43,0.43
E1,/t/,put,1,0.104,0.111,0.095,yes,1,put,no,no,no,no,no,no,no,0.355,0.355
E1,/t/,put,2,0.101,0.119,0.082,yes,1,put,no,no,no,no,no,no,no,0.385,0.385
E1,/t/,put,3,0.121,0.098,0.099,yes,1,put,no,no,no,no,no,no,no,0.388,0.388
E1,/d/,ride,1,0.043,0.025,0.164,yes,1,ride,no,no,yes,no,no,no,yes,0.327,0.327
E1,/d/,ride,2,0.098,0.036,0.102,yes,1,ride,no,no,yes,no,no,no,yes,0.391,0.391
E1,/d/,ride,3,0.086,0.043,0.103,yes,1,ride,no,no,yes,no,no,no,yes,0.359,0.359
E1,/d/,rode,1,0.123,0.014,0.142,yes,1,rode,no,no,yes,no,no,no,no,0.407,0.407
E1,/d/,rode,2,0.105,0.031,0.138,yes,1,rode,no,no,yes,no,no,no,no,0.441,0.441
E1,/d/,rode,3,0.084,0.05,0.139,yes,1,rode,no,no,yes,no,no,no,no,0.366,0.366
E1,/d/,sad,1,0.044,0.027,0.195,yes,1,sad,no,no,no,no,no,no,no,0.428,0.428
E1,/d/,sad,2,0.143,0.022,0.246,yes,1,sad,no,no,no,no,no,no,no,0.637,0.637
E1,/d/,sad,3,0.088,0.033,0.22,yes,1,sad,no,no,no,no,no,no,no,0.597,0.597
E1,/d/,said,1,0.055,0.025,0.159,yes,1,said,no,no,no,no,no,no,no,0.389,0.389
E1,/d/,said,2,0.11,0.022,0.153,yes,1,said,no,no,no,no,no,no,no,0.507,0.507
E1,/t/,shout,1,0.025,0.079,0.156,yes,1,shout,no,no,no,no,no,no,yes,0.451,0.451
E1,/t/,shout,2,0.111,0.086,0.151,yes,1,shout,no,no,no,no,no,no,yes,0.601,0.601
E1,/t/,shout,3,0.111,0.063,0.144,yes,1,shout,no,no,no,no,no,no,yes,0.57,0.57
E1,/t/,silt,1,0.113,0.106,0.093,yes,1,silt,no,no,no,no,yes,no,no,0.479,0.479
E1,/t/,silt,2,0.178,0.065,0.106,yes,1,silt,no,no,no,no,yes,no,no,0.58,0.58
E1,/t/,silt,3,0.071,0.085,0.114,yes,1,silt,no,no,no,no,yes,no,no,0.53,0.53
E1,/d/,slide,1,0.066,0.015,0.174,yes,1,slide,no,no,no,no,no,no,yes,0.472,0.472
E1,/t/,soot,1,0.02,0.096,0.088,yes,1,soot,no,no,no,no,no,no,no,0.414,0.414
E1,/t/,soot,2,0.118,0.098,0.088,yes,1,soot,no,no,no,no,no,no,no,0.555,0.555
E1,/t/,soot,3,0.122,0.095,0.097,yes,1,soot,no,no,no,no,no,no,no,0.504,0.504
E1,/t/,vet,1,0.119,0.106,0.086,yes,1,vet,no,no,no,no,no,no,no,0.426,0.426
E1,/t/,vet,2,0.117,0.118,0.107,yes,1,vet,no,no,no,no,no,no,no,0.452,0.452
