Speaker,sound,word,set,rhyme,word_duration,cues,burst,closure,vowel
E10,d,cooed,1,409,540.0000003,raw,78,40,291
E10,d,cooed,2,461,542.9999998,raw,111,46,304
E10,d,cooed,3,444,569.9999996,raw,116,38,290
E10,t,cut,1,396,491.9999999,raw,147,118,131
E10,t,cut,2,466,553,raw,165,142,159
E10,t,cut,3,458,571.0000001,raw,192,114,152
E10,d,feed,1,381,425.9999996,raw,106,34,241
E10,d,feed,2,409,496.0000001,raw,129,41,239
E10,d,feed,3,362,406.9999997,raw,100,32,230
E10,t,feet,1,370,425.0000001,raw,125,125,120
E10,t,feet,2,391,456.9999998,raw,144,120,127
E10,t,feet,3,327,379.0000003,raw,87,106,134
E10,d,gild,1,516,645.9999999,raw,114,76,326
E10,d,gild,2,516,644,raw,127,43,346
E10,d,god,1,409,445.9999999,raw,88,47,274
E10,d,god,2,424,453,raw,87,34,303
E10,d,god,3,395,423.9999998,raw,90,23,282
E10,d,good,1,341,467.9999998,raw,116,45,180
E10,d,good,2,389,424.0000001,raw,136,62,191
E10,d,good,3,365,399.0000002,raw,123,70,172
E10,t,got,1,420,448.0000005,raw,95,117,208
E10,t,got,2,428,456.0000001,raw,88,111,229
E10,t,got,3,455,483.9999998,raw,95,138,222
E10,d,killed,1,367,461.0000004,raw,119,23,225
E10,d,killed,2,348,495.0000007,raw,110,24,214
E10,d,killed,3,384,482.9999999,raw,101,36,247
E10,d,lad,1,377,459.9999997,raw,68,44,265
E10,d,lad,2,388,488.9999998,raw,88,50,250
E10,d,lad,3,360,423.0000004,raw,90,54,216
E10,t,late,1,472,534.0000007,raw,178,121,173
E10,t,late,2,407,508.9999998,raw,137,121,149
E10,t,late,3,394,453.9999998,raw,132,123,139
E10,t,neat,1,343,440.0000003,raw,86,125,132
E10,t,neat,2,355,465.0000001,raw,89,126,140
E10,t,neat,3,330,459.9999996,raw,83,119,128
E10,d,need,1,352,493.0000001,raw,89,37,226
E10,d,need,2,374,508.0000003,raw,95,44,235
E10,d,need,3,342,444.0000002,raw,104,29,209
E10,t,night,1,394,493,raw,84,106,204
E10,t,night,2,477,571.0000003,raw,146,122,209
E10,t,night,3,491,607.9999996,raw,133,135,223
E10,t,not,1,428,521,raw,93,140,195
E10,t,not,2,409,545.0000004,raw,86,107,216
E10,t,not,3,414,515.0000001,raw,76,123,215
E10,t,pat,1,431,490.0000004,raw,116,124,191
E10,t,pat,2,496,567.0000003,raw,105,159,232
E10,t,pat,3,427,590.9999993,raw,110,196,121
E10,t,pet,1,469,540.9999999,raw,188,161,120
E10,t,pet,2,490,539.0000001,raw,158,197,135
E10,t,pet,3,446,618.9999999,raw,197,161,88
E10,t,pot,1,461,533.0000001,raw,133,155,173
E10,t,pot,2,422,543.0000002,raw,112,149,161
E10,t,pot,3,453,581.0000002,raw,176,122,155
E10,t,pout,1,511,619.9999995,raw,190,113,208
E10,t,pout,2,447,558.9999995,raw,138,146,163
E10,t,pout,3,404,472.9999998,raw,118,96,190
E10,t,put,1,433,492.0000005,raw,133,173,127
E10,t,put,2,379,460.0000003,raw,120,143,116
E10,t,put,3,376,449,raw,116,169,91
E10,d,ride,1,401,563.9999998,raw,55,52,294
E10,d,ride,2,444,550.0000002,raw,120,43,281
E10,d,ride,3,406,525.0000002,raw,133,56,217
E10,d,rod,1,438,562.0000004,raw,100,38,300
E10,d,rod,2,434,620,raw,144,63,227
E10,d,rod,3,355,500,raw,102,42,211
E10,d,rode,1,490,622.9999999,raw,199,26,265
E10,d,rode,2,465,683.0000002,raw,200,42,223
E10,d,rode,3,404,599,raw,160,41,203
E10,d,sad,1,439,638.9999996,raw,103,42,294
E10,d,sad,2,440,615.0000004,raw,69,48,323
E10,d,sad,3,442,609.0000001,raw,106,34,302
E10,d,said,1,293,497.0000003,raw,58,51,184
E10,d,said,2,365,550.0000005,raw,108,59,198
E10,d,said,3,295,475.9999994,raw,82,59,154
E10,t,shot,1,424,603.9999991,raw,91,162,171
E10,t,shot,2,414,658.0000003,raw,105,124,185
E10,t,shot,3,382,628.9999995,raw,76,116,190
E10,t,shout,1,511,748.0000002,raw,136,129,246
E10,t,shout,2,488,682.9999996,raw,142,97,249
E10,t,shout,3,413,594.0000002,raw,114,103,196
E10,t,silt,1,413,705.000001,raw,122,161,130
E10,t,silt,2,403,647.0000008,raw,117,151,135
E10,t,silt,3,377,616,raw,101,123,153
E10,t,sit,1,367,618.0000007,raw,114,131,122
E10,t,sit,2,358,568.0000001,raw,111,139,108
E10,t,sit,3,281,528.0000007,raw,72,132,77
E10,d,slide,1,394,631.9999995,raw,70,46,278
E10,d,slide,2,402,633,raw,116,32,254
E10,d,slide,3,363,619.0000004,raw,94,32,237
E10,t,soot,1,353,620.9999991,raw,107,128,118
E10,t,soot,2,370,571.9999999,raw,99,116,155
E10,t,soot,3,340,545,raw,87,122,131
E10,t,vet,1,366,473.0000001,raw,97,101,168
E10,t,vet,2,419,538.9999998,raw,104,115,200
E10,t,vet,3,384,530.9999999,raw,92,147,145
E10,t,wait,1,374,491.0000002,raw,80,167,127
E10,t,wait,2,370,489.9999999,raw,88,187,95
E10,t,wait,3,379,545.9999993,raw,84,168,127
E10,t,white,1,395,458.0000004,raw,110,158,127
E10,t,white,2,311,507.0000007,raw,90,125,96
E10,t,white,3,349,509.0000002,raw,115,143,91
E11,d,bad,1,515,538.0000004,raw,115,89,311
E11,d,bad,2,573,585.9999998,raw,140,89,344
E11,d,bad,3,601,612.9999997,raw,185,81,335
E11,d,bed,1,478,498.0000002,raw,177,96,205
E11,d,bed,2,458,472,raw,143,102,213
E11,d,bed,3,426,437.0000001,raw,113,108,205
E11,d,bud,1,494,533.0000002,raw,184,109,201
E11,d,bud,2,488,516.0000001,raw,105,144,239
E11,d,bud,3,468,508.0000003,raw,106,111,251
E11,t,but,1,556,590.9999999,raw,247,172,137
E11,t,but,2,542,554.0000001,raw,206,173,163
E11,t,but,3,488,522.9999999,raw,190,125,173
E11,d,cooed,1,455,561.9999999,raw,149,64,242
E11,d,cooed,2,489,636.9999996,raw,154,85,250
E11,d,cooed,3,481,606.0000007,raw,142,74,265
E11,t,cut,1,428,540.9999997,raw,179,132,117
E11,t,cut,2,473,589.9999995,raw,187,129,157
E11,t,cut,3,421,536.0000001,raw,157,134,130
E11,d,feed,1,501,731.0000001,raw,103,77,321
E11,d,feed,2,588,761.0000007,raw,180,99,309
E11,d,feed,3,579,782.0000002,raw,160,109,310
E11,t,feet,1,460,682.9999999,raw,198,152,110
E11,t,feet,2,496,681.9999993,raw,204,169,123
E11,t,feet,3,558,708.0000002,raw,273,117,168
E11,d,find,1,589,734.0000001,raw,123,17,449
E11,d,find,2,643,894.0000007,raw,168,9,466
E11,d,fond,1,569,732.0000003,raw,147,15,407
E11,d,gild,1,533,570.9999997,raw,194,63,276
E11,d,gild,2,519,542.0000004,raw,152,56,311
E11,d,gild,3,490,519.9999996,raw,123,57,310
E11,d,god,1,469,505.0000002,raw,73,91,305
E11,d,god,2,543,578.0000005,raw,112,96,335
E11,d,god,3,589,617.9999998,raw,131,91,367
E11,d,good,1,383,416,raw,93,89,201
E11,d,good,2,496,528.9999997,raw,155,116,225
E11,d,good,3,405,459.9999998,raw,88,88,229
E11,t,got,1,452,485.9999996,raw,124,146,182
E11,t,got,2,582,617.9999999,raw,238,134,210
E11,t,got,3,492,516.0000001,raw,138,125,229
E11,d,killed,1,437,577.9999995,raw,177,46,214
E11,d,killed,2,449,575.9999999,raw,130,44,275
E11,d,killed,3,516,683.9999999,raw,166,48,302
E11,d,lad,1,474,576.9999993,raw,125,78,271
E11,d,lad,2,546,662.9999998,raw,189,84,273
E11,d,lad,3,465,559,raw,119,88,258
E11,t,late,1,436,549.9999998,raw,184,84,168
E11,t,late,2,479,687.9999992,raw,220,99,160
E11,t,late,3,504,695.0000001,raw,242,116,146
E11,t,neat,1,469,672.0000006,raw,198,135,136
E11,t,neat,2,487,603.9999998,raw,183,142,162
E11,t,neat,3,479,631.0000007,raw,189,135,155
E11,d,need,1,545,655.9999999,raw,169,78,298
E11,d,need,2,504,617.9999997,raw,121,100,283
E11,d,need,3,522,649.0000006,raw,144,88,290
E11,t,night,1,640,811.0000005,raw,265,124,251
E11,t,night,2,582,703.9999995,raw,216,154,212
E11,t,night,3,521,647.9999997,raw,185,130,206
E11,t,not,1,631,773.0000003,raw,246,123,262
E11,t,not,2,636,743.9999997,raw,235,132,269
E11,t,not,3,607,735.9999999,raw,207,99,301
E11,t,pat,1,527,686.0000003,raw,193,114,220
E11,t,pat,2,581,707.9999999,raw,208,109,264
E11,t,pat,3,566,716.9999999,raw,206,160,200
E11,t,pet,1,467,606.0000006,raw,200,142,125
E11,t,pet,2,581,714.0000002,raw,250,195,136
E11,t,pet,3,526,627.0000004,raw,224,175,127
E11,d,pond,1,489,632.0000002,raw,58,42,389
E11,d,pond,2,571,703.9999995,raw,111,77,383
E11,t,pot,1,490,600.9999995,raw,166,113,211
E11,t,pot,2,596,697.0000007,raw,224,123,249
E11,t,pot,3,551,679.9999997,raw,199,118,234
E11,d,pound,1,573,741.0000002,raw,123,23,427
E11,d,pound,2,568,709.0000007,raw,90,22,456
E11,t,pout,1,605,753.9999999,raw,278,118,209
E11,t,pout,2,590,714.9999993,raw,255,152,183
E11,t,pout,3,560,691.9999999,raw,222,149,189
E11,t,put,1,554,699.0000001,raw,293,106,155
E11,t,put,2,590,685.0000005,raw,272,152,166
E11,t,put,3,529,635.0000001,raw,273,100,156
E11,d,ride,1,694,868.9999994,raw,153,73,468
E11,d,ride,2,700,851.0000001,raw,126,62,512
E11,d,ride,3,711,913.0000001,raw,117,63,531
E11,d,rod,1,599,679,raw,133,84,382
E11,d,rod,2,569,783.0000005,raw,106,77,386
E11,d,rod,3,617,764.9999997,raw,124,97,396
E11,d,rode,1,382,551.9999996,raw,111,59,212
E11,d,rode,2,375,629.9999992,raw,126,81,168
E11,d,rode,3,373,628.9999994,raw,118,81,174
E11,d,sad,1,554,824.0000001,raw,150,85,319
E11,d,sad,2,571,843.0000003,raw,160,79,332
E11,d,sad,3,502,793.0000001,raw,77,88,337
E11,d,said,1,436,737.9999998,raw,141,107,188
E11,d,said,2,458,756.9999988,raw,147,143,168
E11,d,said,3,465,765.0000016,raw,141,139,185
E11,t,shot,1,514,739.9999996,raw,211,124,179
E11,t,shot,2,559,807.999999,raw,203,107,249
E11,t,shot,3,510,799.0000004,raw,149,158,203
E11,t,shout,1,478,745.9999991,raw,177,153,148
E11,t,shout,2,502,750.0000004,raw,168,138,196
E11,t,shout,3,502,747.9999996,raw,169,147,186
E11,t,silt,1,428,681.9999994,raw,195,70,163
E11,t,silt,2,449,684.0000006,raw,171,86,192
E11,t,silt,3,413,664.9999995,raw,160,88,165
E11,t,sit,1,405,659.9999996,raw,188,115,102
E11,t,sit,2,428,742,raw,160,144,124
E11,t,sit,3,447,707.9999991,raw,156,168,123
E11,d,slide,1,510,809.9999995,raw,94,57,359
E11,d,slide,2,534,796.0000004,raw,116,66,352
E11,d,slide,3,480,808.9999996,raw,78,57,345
E11,t,soot,1,428,705.0000007,raw,190,119,119
E11,t,soot,2,439,719.0000005,raw,171,136,132
