Word,Sound,Block.Type,phon_ctxt_stress,onset_has_nasal,onset_has_lateral,onset_has_rhotic,coda_has_nasal,coda_has_lateral,coda_has_rhotic,coda_has_fricative,has_long_vowel,syllable,burst,closure,vowel,Item.Word,Item.WordID,Item.MinimalPair,word_duration,syllable_duration,syllable_id,num_of_segments
fade,/d/,test,yes,no,no,no,no,no,no,no,no,1,0.047,0.069,0.188,fade,E21,E11,0.517,0.517,fade,3
fat,/t/,test,yes,no,no,no,no,no,no,no,no,1,0.14,0.049,0.24,fat,E22,E10,0.657,0.657,fat,3
fate,/t/,test,yes,no,no,no,no,no,no,no,no,1,0.122,0.052,0.171,fate,E23,E11,0.62,0.62,fate,3
feed,/d/,test,yes,no,no,no,no,no,no,no,no,1,0.061,0.055,0.155,feed,E24,E12,0.559,0.559,feed,3
feet,/t/,test,yes,no,no,no,no,no,no,no,no,1,0.121,0.046,0.19,feet,E25,E12,0.692,0.692,feet,3
fond,/d/,test,yes,no,no,no,yes,no,no,no,no,1,0.061,0.04,0.263,fond,E26,E13,0.569,0.569,fond,4
font,/t/,test,yes,no,no,no,yes,no,no,no,no,1,0.081,0.089,0.192,font,E27,E13,0.612,0.612,font,4
ford,/d/,test,yes,no,no,no,no,no,yes,no,no,1,0.077,0.052,0.23,ford,E28,E14,0.551,0.551,ford,4
fort,/t/,test,yes,no,no,no,no,no,yes,no,no,1,0.093,0.104,0.197,fort,E29,E14,0.7,0.7,fort,4
fried,/d/,test,yes,no,no,yes,no,no,no,no,yes,1,0.055,0.074,0.138,fried,E30,E15,0.644,0.644,fried,4
fright,/t/,test,yes,no,no,yes,no,no,no,no,yes,1,0.125,0.077,0.175,fright,E31,E15,0.739,0.739,fright,4
had,/d/,test,yes,no,no,no,no,no,no,no,no,1,0.068,0.081,0.168,had,E32,E16,0.501,0.501,had,3
hard,/d/,test,yes,no,no,no,no,no,yes,no,no,1,0.056,0.033,0.264,hard,E33,E17,0.579,0.579,hard,4
hat,/t/,test,yes,no,no,no,no,no,no,no,no,1,0.149,0.069,0.192,hat,E34,E16,0.596,0.596,hat,3
heart,/t/,test,yes,no,no,no,no,no,yes,no,no,1,0.106,0.046,0.247,heart,E35,E17,0.558,0.558,heart,4
heat,/t/,test,yes,no,no,no,no,no,no,no,no,1,0.109,0.064,0.166,heat,E36,E18,0.532,0.532,heat,3
heed,/d/,test,yes,no,no,no,no,no,no,no,no,1,0.069,0.08,0.187,heed,E37,E18,0.497,0.497,heed,3
height,/t/,test,yes,no,no,no,no,no,no,no,yes,1,0.132,0.076,0.229,height,E38,E21,0.596,0.596,height,3
herd,/d/,test,yes,no,no,no,no,no,yes,no,no,1,0.042,0.112,0.149,herd,E39,E19,0.48,0.48,herd,4
hid,/d/,test,yes,no,no,no,no,no,no,no,no,1,0.069,0.053,0.164,hid,E40,E20,0.499,0.499,hid,3
hide,/d/,test,yes,no,no,no,no,no,no,no,yes,1,0.086,0.039,0.227,hide,E41,E21,0.52,0.52,hide,3
hit,/t/,test,yes,no,no,no,no,no,no,no,no,1,0.141,0.043,0.178,hit,E42,E20,0.556,0.556,hit,3
hurt,/t/,test,yes,no,no,no,no,no,yes,no,no,1,0.119,0.049,0.199,hurt,E43,E19,0.566,0.566,hurt,4
kid,/d/,test,yes,no,no,no,no,no,no,no,no,1,0.034,0.048,0.137,kid,E44,E22,0.351,0.351,kid,3
kit,/t/,test,yes,no,no,no,no,no,no,no,no,1,0.103,0.064,0.138,kit,E45,E22,0.473,0.473,kit,3
knot,/t/,test,yes,yes,no,no,no,no,no,no,no,1,0.08,0.055,0.199,knot,E46,E34,0.492,0.492,knot,3
laid,/d/,test,yes,no,yes,no,no,no,no,no,no,1,0.069,0.088,0.204,laid,E47,E23,0.513,0.513,laid,3
late,/t/,test,yes,no,yes,no,no,no,no,no,no,1,0.093,0.079,0.206,late,E48,E23,0.603,0.603,late,3
led,/d/,test,yes,no,yes,no,no,no,no,no,no,1,0.04,0.085,0.173,led,E49,E24,0.49,0.49,led,3
let,/t/,test,yes,no,yes,no,no,no,no,no,no,1,0.108,0.104,0.216,let,E50,E24,0.644,0.644,let,3
mad,/d/,test,yes,yes,no,no,no,no,no,no,no,1,0.066,0.091,0.184,mad,E51,E25,0.51,0.51,mad,3
made,/d/,test,yes,yes,no,no,no,no,no,no,no,1,0.058,0.063,0.194,made,E52,E26,0.461,0.461,made,3
mat,/t/,test,yes,yes,no,no,no,no,no,no,no,1,0.107,0.082,0.191,mat,E53,E25,0.573,0.573,mat,3
mate,/t/,test,yes,yes,no,no,no,no,no,no,no,1,0.129,0.044,0.204,mate,E54,E26,0.604,0.604,mate,3
mead,/d/,test,yes,yes,no,no,no,no,no,no,no,1,0.077,0.065,0.175,mead,E55,E27,0.375,0.375,mead,3
meant,/t/,test,yes,yes,no,no,yes,no,no,no,no,1,0.129,0.054,0.237,meant,E56,E28,0.588,0.588,meant,4
meat,/t/,test,yes,yes,no,no,no,no,no,no,no,1,0.15,0.048,0.187,meat,E57,E27,0.608,0.608,meat,3
mend,/d/,test,yes,yes,no,no,yes,no,no,no,no,1,0.055,0.068,0.232,mend,E58,E28,0.497,0.497,mend,4
moat,/t/,test,yes,yes,no,no,no,no,no,no,yes,1,0.142,0.063,0.23,moat,E59,E29,0.652,0.652,moat,3
mode,/d/,test,yes,yes,no,no,no,no,no,no,yes,1,0.08,0.062,0.206,mode,E60,E29,0.455,0.455,mode,3
mood,/d/,test,yes,yes,no,no,no,no,no,no,no,1,0.082,0.074,0.179,mood,E61,E30,0.45,0.45,mood,3
moot,/t/,test,yes,yes,no,no,no,no,no,no,no,1,0.163,0.075,0.242,moot,E62,E30,0.716,0.716,moot,3
mound,/d/,test,yes,yes,no,no,yes,no,no,no,yes,1,0.052,0.054,0.233,mound,E63,E31,0.524,0.524,mound,4
mount,/t/,test,yes,yes,no,no,yes,no,no,no,yes,1,0.105,0.082,0.228,mount,E64,E31,0.569,0.569,mount,4
mud,/d/,test,yes,yes,no,no,no,no,no,no,no,1,0.077,0.061,0.183,mud,E65,E32,0.517,0.517,mud,3
mutt,/t/,test,yes,yes,no,no,no,no,no,no,no,1,0.176,0.078,0.162,mutt,E66,E32,0.635,0.635,mutt,3
neat,/t/,test,yes,yes,no,no,no,no,no,no,no,1,0.125,0.074,0.218,neat,E67,E33,0.556,0.556,neat,3
need,/d/,test,yes,yes,no,no,no,no,no,no,no,1,0.061,0.086,0.156,need,E68,E33,0.489,0.489,need,3
nod,/d/,test,yes,yes,no,no,no,no,no,no,no,1,0.039,0.071,0.217,nod,E69,E34,0.423,0.423,nod,3
node,/d/,test,yes,yes,no,no,no,no,no,no,yes,1,0.07,0.08,0.184,node,E70,E35,0.513,0.513,node,3
note,/t/,test,yes,yes,no,no,no,no,no,no,no,1,0.107,0.055,0.2,note,E71,E35,0.568,0.568,note,3
oat,/t/,test,yes,no,no,no,no,no,no,no,yes,1,0.133,0.06,0.266,oat,E72,E36,0.652,0.652,oat,2
owed,/d/,test,yes,no,no,no,no,no,no,no,yes,1,0.057,0.07,0.228,owed,E73,E36,0.463,0.463,owed,2
pad,/d/,test,yes,no,no,no,no,no,no,no,no,1,0.075,0.022,0.168,pad,E74,E37,0.345,0.345,pad,3
pat,/t/,test,yes,no,no,no,no,no,no,no,no,1,0.116,0.06,0.194,pat,E75,E37,0.511,0.511,pat,3
plate,/t/,test,yes,no,yes,no,no,no,no,no,no,1,0.122,0.058,0.195,plate,E76,E38,0.581,0.581,plate,4
played,/d/,test,yes,no,yes,no,no,no,no,no,no,1,0.072,0.055,0.169,played,E77,E38,0.479,0.479,played,4
plead,/d/,test,yes,no,yes,no,no,no,no,no,no,1,0.091,0.074,0.173,plead,E78,E39,0.629,0.629,plead,4
pleat,/t/,test,yes,no,yes,no,no,no,no,no,no,1,0.126,0.046,0.159,pleat,E79,E39,0.582,0.582,pleat,4
plod,/d/,test,yes,no,yes,no,no,no,no,no,no,1,0.063,0.06,0.127,plod,E80,E40,0.46,0.46,plod,4
plot,/t/,test,yes,no,yes,no,no,no,no,no,no,1,0.123,0.049,0.215,plot,E81,E40,0.756,0.756,plot,4
