Speaker,Sound,Word,set,burst,closure,vowel,phon_ctxt_stress,phon_pre_nasal,phon_post_nasal,syllable,Item.Word
E1,/d/,sad,1,0.044,0.027,0.195,yes,no,no,1,sad
E1,/d/,sad,2,0.143,0.022,0.246,yes,no,no,1,sad
E1,/d/,sad,3,0.088,0.033,0.22,yes,no,no,1,sad
E1,/d/,said,1,0.055,0.025,0.159,yes,no,no,1,said
E1,/d/,said,2,0.11,0.022,0.153,yes,no,no,1,said
E1,/t/,shout,1,0.025,0.079,0.156,yes,no,no,1,shout
E1,/t/,shout,2,0.111,0.086,0.151,yes,no,no,1,shout
E1,/t/,shout,3,0.111,0.063,0.144,yes,no,no,1,shout
E1,/t/,silt,1,0.113,0.106,0.093,yes,yes,no,1,silt
E1,/t/,silt,2,0.178,0.065,0.106,yes,yes,no,1,silt
E1,/t/,silt,3,0.071,0.085,0.114,yes,yes,no,1,silt
E1,/d/,slide,1,0.066,0.015,0.174,yes,no,no,1,slide
E1,/t/,soot,1,0.02,0.096,0.088,yes,no,no,1,soot
E1,/t/,soot,2,0.118,0.098,0.088,yes,no,no,1,soot
E1,/t/,soot,3,0.122,0.095,0.097,yes,no,no,1,soot
E1,/t/,vet,1,0.119,0.106,0.086,yes,no,no,1,vet
E1,/t/,vet,2,0.117,0.118,0.107,yes,no,no,1,vet
E1,/t/,vet,3,0.169,0.108,0.112,yes,no,no,1,vet
E1,/t/,wait,1,0.103,0.072,0.087,yes,no,no,1,wait
E1,/t/,wait,2,0.101,0.087,0.081,yes,no,no,1,wait
E1,/t/,wait,3,0.09,0.083,0.097,yes,no,no,1,wait
E1,/t/,white,1,0.126,0.091,0.084,yes,no,no,1,white
E1,/t/,white,2,0.191,0.089,0.069,yes,no,no,1,white
E1,/t/,white,3,0.167,0.1,0.063,yes,no,no,1,white
E10,/d/,bad,1,0.092,0.038,0.322,yes,no,no,1,bad
E10,/d/,bad,2,0.069,0.052,0.355,yes,no,no,1,bad
E10,/d/,bad,3,0.099,0.038,0.306,yes,no,no,1,bad
E10,/d/,bed,1,0.094,0.051,0.188,yes,no,no,1,bed
E10,/d/,bed,2,0.116,0.059,0.177,yes,no,no,1,bed
E10,/d/,bed,3,0.115,0.058,0.174,yes,no,no,1,bed
E10,/d/,bud,1,0.098,0.043,0.194,yes,no,no,1,bud
E10,/d/,bud,2,0.107,0.036,0.208,yes,no,no,1,bud
E10,/d/,bud,3,0.083,0.033,0.2,yes,no,no,1,bud
E10,/d/,cooed,1,0.078,0.04,0.291,yes,no,no,1,cooed
E10,/d/,cooed,2,0.111,0.046,0.304,yes,no,no,1,cooed
E10,/d/,cooed,3,0.116,0.038,0.29,yes,no,no,1,cooed
E10,/t/,cut,1,0.147,0.118,0.131,yes,no,no,1,cut
E10,/t/,cut,2,0.165,0.142,0.159,yes,no,no,1,cut
E10,/t/,cut,3,0.192,0.114,0.152,yes,no,no,1,cut
E10,/d/,feed,1,0.106,0.034,0.241,yes,no,no,1,feed
E10,/d/,feed,2,0.129,0.041,0.239,yes,no,no,1,feed
E10,/d/,feed,3,0.1,0.032,0.23,yes,no,no,1,feed
E10,/t/,feet,1,0.125,0.125,0.12,yes,no,no,1,feet
E10,/t/,feet,2,0.144,0.12,0.127,yes,no,no,1,feet
E10,/t/,feet,3,0.087,0.106,0.134,yes,no,no,1,feet
E10,/d/,gild,1,0.114,0.076,0.326,yes,yes,no,1,gild
