word,set,vowel,closure,burst,sound,Speaker,phon_ctxt_stress,phon_pre_nasal,phon_post_nasal,syllable
said,2,0.205,0.102,0.091,d,E14,yes,no,no,1
said,3,0.19,0.091,0.114,d,E14,yes,no,no,1
shot,1,0.14,0.16,0.156,t,E14,yes,no,no,1
shot,2,0.144,0.149,0.068,t,E14,yes,no,no,1
shot,3,0.15,0.18,0.103,t,E14,yes,no,no,1
shout,1,0.167,0.155,0.144,t,E14,yes,no,no,1
shout,2,0.222,0.12,0.078,t,E14,yes,no,no,1
shout,3,0.167,0.154,0.069,t,E14,yes,no,no,1
sit,1,0.093,0.166,0.042,t,E14,yes,no,no,1
sit,2,0.09,0.138,0.086,t,E14,yes,no,no,1
sit,3,0.1,0.125,0.049,t,E14,yes,no,no,1
slide,1,0.287,0.055,0.088,d,E14,yes,no,no,1
slide,2,0.322,0.041,0.081,d,E14,yes,no,no,1
slide,3,0.273,0.068,0.116,d,E14,yes,no,no,1
soot,1,0.073,0.148,0.1,t,E14,yes,no,no,1
soot,2,0.099,0.153,0.12,t,E14,yes,no,no,1
soot,3,0.09,0.164,0.101,t,E14,yes,no,no,1
vet,1,0.12,0.171,0.214,t,E14,yes,no,no,1
vet,2,0.125,0.161,0.239,t,E14,yes,no,no,1
vet,3,0.12,0.163,0.252,t,E14,yes,no,no,1
wait,1,0.114,0.087,0.161,t,E14,yes,no,no,1
wait,2,0.109,0.093,0.139,t,E14,yes,no,no,1
wait,3,0.119,0.111,0.154,t,E14,yes,no,no,1
white,1,0.121,0.072,0.174,t,E14,yes,no,no,1
white,2,0.057,0.106,0.118,t,E14,yes,no,no,1
white,3,0.112,0.107,0.099,t,E14,yes,no,no,1
